size,sc,split,scale_idx,scale_value,allowed_n,effective_vocab,dead_fraction,perplexity,entropy_bits,top1_share,n_tokens,residual_energy,geom_eff_dim,geom_mean_cos_dist
medium,sc917,train,3,8,544,544,0.0,80.44112247985211,6.3298613081171204,0.0306640625,1920000,8311.21875,3.7255947589874268,0.9850783348083496
medium,sc917,train,4,16,1726,1726,0.0,721.7255273926136,9.495306473485858,0.0036134114583333335,7680000,14272.607421875,3.7255947589874268,0.9850783348083496
medium,sc917,train,5,24,1799,1799,0.0,1704.046265755008,10.734748790688979,0.0008935185185185185,17280000,14665.9580078125,3.7255947589874268,0.9850783348083496
medium,sc917,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,3493.531494140625,3.7255947589874268,0.9850783348083496
medium,sc917,val,1,2,10,8,0.19999999999999996,3.0429830291360402,1.6054862878947211,0.529,8000,1003.9656982421875,3.7255947589874268,0.9850783348083496
medium,sc917,val,2,4,49,40,0.18367346938775508,18.197907355493722,4.185700654023937,0.0999375,32000,2489.587158203125,3.7255947589874268,0.9850783348083496
medium,sc917,val,3,8,544,448,0.17647058823529416,80.38826816529657,6.328913065262526,0.0305,128000,8311.21875,3.7255947589874268,0.9850783348083496
medium,sc917,val,4,16,1726,1689,0.021436848203939762,752.7727686150739,9.556070629617778,0.00348046875,512000,14272.607421875,3.7255947589874268,0.9850783348083496
medium,sc917,val,5,24,1799,1764,0.01945525291828798,1709.2697539556943,10.739164383246209,0.0008871527777777778,1152000,14665.9580078125,3.7255947589874268,0.9850783348083496
medium,sc1941,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,1640.91162109375,4.592371463775635,0.9907894134521484
medium,sc1941,train,1,2,8,8,0.0,1.9985175220900906,0.9989302217059015,0.743425,120000,326.2280578613281,4.592371463775635,0.9907894134521484
medium,sc1941,train,2,4,45,45,0.0,9.147967865063963,3.1934512978665195,0.21005208333333333,480000,756.723388671875,4.592371463775635,0.9907894134521484
medium,sc1941,train,3,8,445,445,0.0,51.91928432567725,5.698198591727641,0.05135,1920000,2502.60546875,4.592371463775635,0.9907894134521484
medium,sc1941,train,4,16,1747,1747,0.0,397.571909975936,8.6350720181789,0.007548958333333334,7680000,4128.45703125,4.592371463775635,0.9907894134521484
medium,sc1941,train,5,24,2396,2396,0.0,1117.115131499293,10.125562164380854,0.0023142939814814814,17280000,3868.81689453125,4.592371463775635,0.9907894134521484
medium,sc1941,train,6,32,2382,2382,0.0,2185.869083034807,11.093991281777862,0.0008173177083333333,30720000,7320.29248046875,4.592371463775635,0.9907894134521484
medium,sc1941,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,1640.91162109375,4.592371463775635,0.9907894134521484
medium,sc1941,val,1,2,8,3,0.625,2.1270654036697074,1.0888643944171843,0.698,8000,326.2280578613281,4.592371463775635,0.9907894134521484
medium,sc1941,val,2,4,45,36,0.19999999999999996,9.25153434887707,3.2096926536230455,0.20371875,32000,756.723388671875,4.592371463775635,0.9907894134521484
medium,sc1941,val,3,8,445,307,0.3101123595505618,51.79807041149474,5.694826450335519,0.0552109375,128000,2502.60546875,4.592371463775635,0.9907894134521484
