size,sc,arch,arm,emd,best_T_emd,gap,floor,ratio_to_floor,collapse_thr,collapsed,collapse_rate
medium,sc341,s24,minp,0.2006499253341809,0.19135910375129336,0.009290821582887548,0.2254469332791052,0.8900095575297741,0.4508938665582104,False,0
medium,sc341,s24,invedt,0.2029005353384991,0.19135910375129336,0.011541431587205747,0.2254469332791052,0.8999924389625941,0.4508938665582104,False,0
medium,sc917,s74,etmodel,0.5122719955019273,0.1956630573189665,0.31660893818296076,0.113527191737078,4.512328611882849,0.227054383474156,True,1
medium,sc917,s74,etpool,0.7652117743713232,0.1956630573189665,0.5695487170523567,0.113527191737078,6.740339143978005,0.227054383474156,True,1
medium,sc917,s74,etpos,0.7293424778923021,0.1956630573189665,0.5336794205733356,0.113527191737078,6.424385794562896,0.227054383474156,True,1
medium,sc917,s74,tophabs,0.4840562447381313,0.1956630573189665,0.2883931874191648,0.113527191737078,4.263791232140894,0.227054383474156,True,1
medium,sc917,s74,typical,0.49907830582110607,0.1956630573189665,0.3034152485021396,0.113527191737078,4.396112492388086,0.227054383474156,True,1
medium,sc917,s74,minp,0.5115774634551116,0.1956630573189665,0.3159144061361451,0.113527191737078,4.506210852461616,0.227054383474156,True,1
medium,sc917,s74,invedt,0.5084193688072614,0.1956630573189665,0.31275631148829486,0.113527191737078,4.478392894494646,0.227054383474156,True,1
small,sc1941,s139,etmodel,5.973118172169479,0.19600488948428155,5.777113282685198,0.08160031603439129,73.19969409986166,0.16320063206878258,True,1
small,sc1941,s139,etpool,1.7103650401305608,0.19600488948428155,1.5143601506462792,0.08160031603439129,20.960274705427732,0.16320063206878258,True,1
small,sc1941,s139,etpos,1.6617699497299894,0.19600488948428155,1.4657650602457077,0.08160031603439129,20.364748943246976,0.16320063206878258,True,1
small,sc1941,s139,tophabs,5.668275145750765,0.19600488948428155,5.472270256266484,0.08160031603439129,69.46388716634152,0.16320063206878258,True,1
small,sc1941,s139,typical,5.735996341992212,0.19600488948428155,5.539991452507931,0.08160031603439129,70.29380057271737,0.16320063206878258,True,1
small,sc1941,s139,minp,5.750893694956312,0.19600488948428155,5.5548888054720305,0.08160031603439129,70.47636546569916,0.16320063206878258,True,1
small,sc1941,s139,invedt,5.762332495062607,0.19600488948428155,5.5663276055783255,0.08160031603439129,70.6165462966346,0.16320063206878258,True,1
small,sc341,s24,etmodel,0.2561896299469883,0.2164564733638782,0.03973315658311011,0.39952048221475633,0.6412427931774405,0.7990409644295127,False,0
small,sc341,s24,etpool,1.309647157648533,0.2164564733638782,1.0931906842846546,0.39952048221475633,3.278047599433341,0.7990409644295127,True,1
small,sc341,s24,etpos,1.2130446984865404,0.2164564733638782,0.9965882251226622,0.39952048221475633,3.036251587808422,0.7990409644295127,True,1
small,sc341,s24,tophabs,0.2436347875360215,0.2164564733638782,0.02717831417214331,0.39952048221475633,0.6098180153003,0.7990409644295127,False,0
small,sc341,s24,typical,0.2204544357334831,0.2164564733638782,0.003997962369604924,0.39952048221475633,0.5517975812188299,0.7990409644295127,False,0
small,sc341,s24,minp,0.20739439185916103,0.2164564733638782,-0.009062081504717157,0.39952048221475633,0.5191082837842572,0.7990409644295127,False,0
small,sc341,s24,invedt,0.2251333585440451,0.2164564733638782,0.008676885180166904,0.39952048221475633,0.5635089277426032,0.7990409644295127,False,0
small,sc917,s74,etmodel,0.5584424896357485,0.1879118366738015,0.370530652961947,0.10617381309153318,5.259700799803728,0.21234762618306635,True,1
small,sc917,s74,etpool,0.7963511342269634,0.1879118366738015,0.6084392975531618,0.10617381309153318,7.500447719066316,0.21234762618306635,True,1
small,sc917,s74,etpos,0.8058799750210703,0.1879118366738015,0.6179681383472688,0.10617381309153318,7.590195280321294,0.21234762618306635,True,1
small,sc917,s74,tophabs,0.5087100547355481,0.1879118366738015,0.3207982180617466,0.10617381309153318,4.791294952334297,0.21234762618306635,True,1
small,sc917,s74,typical,0.5276813592587593,0.1879118366738015,0.33976952258495774,0.10617381309153318,4.969976530878113,0.21234762618306635,True,1
small,sc917,s74,minp,0.541406879601017,0.1879118366738015,0.35349504292721545,0.10617381309153318,5.0992505951939995,0.21234762618306635,True,1
small,sc917,s74,invedt,0.5351924231728477,0.1879118366738015,0.34728058649904614,0.10617381309153318,5.040719623693411,0.21234762618306635,True,1
