run,step,loss
small-sc341-nsp-small,1147,3.7624573707580566
small-sc341-nsp-small,1159,3.639981985092163
small-sc341-nsp-small,1166,3.619027853012085
small-sc341-nsp-small,1168,3.589597463607788
small-sc341-nsp-small,1171,3.7414727210998535
small-sc341-nsp-small,1175,3.5985074043273926
small-sc341-nsp-small,1176,3.613062620162964
small-sc341-nsp-small,1178,3.6965014934539795
small-sc341-nsp-small,1190,3.6766955852508545
small-sc341-nsp-small,1192,3.5874533653259277
small-sc341-nsp-small,1194,3.7232918739318848
small-sc341-nsp-small,1196,3.7041091918945312
small-sc341-nsp-small,1200,3.691777229309082
small-sc341-nsp-small,1201,3.6108763217926025
small-sc341-nsp-small,1203,3.654585361480713
small-sc341-nsp-small,1206,3.68320369720459
small-sc341-nsp-small,1220,3.6112430095672607
small-sc341-nsp-small,1221,3.680025100708008
small-sc341-nsp-small,1225,3.634901523590088
small-sc341-nsp-small,1234,3.688678503036499
small-sc341-nsp-small,1239,3.6649835109710693
small-sc341-nsp-small,1247,3.593688488006592
small-sc341-nsp-small,1248,3.665850877761841
small-sc341-nsp-small,1252,3.532909393310547
small-sc341-nsp-small,1262,3.6659882068634033
small-sc341-nsp-small,1280,3.615664482116699
small-sc341-nsp-small,1300,3.5565648078918457
small-sc341-nsp-small,1307,3.496657371520996
small-sc341-nsp-small,1309,3.579184055328369
small-sc341-nsp-small,1314,3.683605432510376
small-sc341-nsp-small,1320,3.589918851852417
small-sc341-nsp-small,1338,3.5121958255767822
small-sc341-nsp-small,1340,3.556948184967041
small-sc341-nsp-small,1350,3.52014422416687
small-sc341-nsp-small,1352,3.417901039123535
small-sc341-nsp-small,1357,3.4813294410705566
small-sc341-nsp-small,1358,3.521040201187134
small-sc341-nsp-small,1370,3.5269408226013184
small-sc341-nsp-small,1386,3.5102643966674805
small-sc341-nsp-small,1387,3.517190933227539
small-sc341-nsp-small,1395,3.5647811889648438
small-sc341-nsp-small,1397,3.5808610916137695
small-sc341-nsp-small,1402,3.4640145301818848
small-sc341-nsp-small,1405,3.472250461578369
small-sc341-nsp-small,1408,3.438936233520508
small-sc341-nsp-small,1413,3.3874897956848145
small-sc341-nsp-small,1416,3.4487826824188232
small-sc341-nsp-small,1422,3.452589511871338
small-sc341-nsp-small,1423,3.483200788497925
small-sc341-nsp-small,1426,3.4959163665771484
small-sc341-nsp-small,1427,3.4143190383911133
small-sc341-nsp-small,1448,3.448021650314331
small-sc341-nsp-small,1455,3.361576795578003
small-sc341-nsp-small,1456,3.379481792449951
small-sc341-nsp-small,1457,3.4190664291381836
small-sc341-nsp-small,1461,3.429356575012207
small-sc341-nsp-small,1468,3.507894277572632
small-sc341-nsp-small,1475,3.4304094314575195
small-sc341-nsp-small,1478,3.3512353897094727
small-sc341-nsp-small,1480,3.4261202812194824
small-sc341-nsp-small,1483,3.359133720397949
small-sc341-nsp-small,1484,3.485600471496582
small-sc341-nsp-small,1485,3.336923360824585
small-sc341-nsp-small,1488,3.4153168201446533
small-sc341-nsp-small,1489,3.4363720417022705
small-sc341-nsp-small,1494,3.4022488594055176
small-sc341-nsp-small,1501,3.290377616882324
small-sc341-nsp-small,1504,3.321833372116089
small-sc341-nsp-small,1508,3.3926949501037598
small-sc341-nsp-small,1509,3.33733868598938
small-sc341-nsp-small,1517,3.3660449981689453
small-sc341-nsp-small,1518,3.4400882720947266
small-sc341-nsp-small,1525,3.290947437286377
small-sc341-nsp-small,1526,3.37259578704834
small-sc341-nsp-small,1527,3.4703078269958496
small-sc341-nsp-small,1529,3.4311184883117676
small-sc341-nsp-small,1532,3.408301591873169
small-sc341-nsp-small,1540,3.3726110458374023
small-sc341-nsp-small,1545,3.3864431381225586
small-sc341-nsp-small,1546,3.2662463188171387
small-sc341-nsp-small,1552,3.3377041816711426
small-sc341-nsp-small,1554,3.307932138442993
small-sc341-nsp-small,1555,3.417189359664917
small-sc341-nsp-small,1563,3.275135040283203
small-sc341-nsp-small,1570,3.403249979019165
small-sc341-nsp-small,1580,3.2603094577789307
small-sc341-nsp-small,1581,3.313028573989868
small-sc341-nsp-small,1583,3.3004651069641113
small-sc341-nsp-small,1591,3.265420913696289
small-sc341-nsp-small,1596,3.2384862899780273
small-sc341-nsp-small,1598,3.268113374710083
small-sc341-nsp-small,1605,3.3184804916381836
small-sc341-nsp-small,1609,3.391744613647461
small-sc341-nsp-small,1611,3.347080707550049
small-sc341-nsp-small,1614,3.373633861541748
small-sc341-nsp-small,1621,3.2978057861328125
small-sc341-nsp-small,1622,3.3567261695861816
small-sc341-nsp-small,1626,3.290689468383789
small-sc341-nsp-small,1627,3.3843512535095215
small-sc341-nsp-small,1629,3.303657054901123
small-sc341-nsp-small,1655,3.354698657989502
small-sc341-nsp-small,1658,3.2552146911621094
small-sc341-nsp-small,1664,3.1755504608154297
small-sc341-nsp-small,1666,3.4281504154205322
small-sc341-nsp-small,1673,3.3352835178375244
small-sc341-nsp-small,1675,3.309357166290283
small-sc341-nsp-small,1680,3.275608777999878
small-sc341-nsp-small,1685,3.320812702178955
small-sc341-nsp-small,1686,3.271090030670166
small-sc341-nsp-small,1688,3.289477825164795
small-sc341-nsp-small,1690,3.291745662689209
small-sc341-nsp-small,1695,3.2275643348693848
small-sc341-nsp-small,1696,3.327227830886841
small-sc341-nsp-small,1701,3.1545090675354004
small-sc341-nsp-small,1702,3.170227527618408
small-sc341-nsp-small,1711,3.3083138465881348
small-sc341-nsp-small,1716,3.2224528789520264
small-sc341-nsp-small,1717,3.296213150024414
small-sc341-nsp-small,1720,3.285858631134033
small-sc341-nsp-small,1723,3.15270733833313
small-sc341-nsp-small,1726,3.2856528759002686
small-sc341-nsp-small,1727,3.3567466735839844
small-sc341-nsp-small,1728,3.2246222496032715
small-sc341-nsp-small,1739,3.2384393215179443
small-sc341-nsp-small,1743,3.288355827331543
small-sc341-nsp-small,1745,3.26991868019104
small-sc341-nsp-small,1748,3.2532451152801514
small-sc341-nsp-small,1751,3.2320265769958496
small-sc341-nsp-small,1756,3.1734840869903564
small-sc341-nsp-small,1768,3.4096879959106445
small-sc341-nsp-small,1771,3.3147640228271484
small-sc341-nsp-small,1773,3.1535656452178955
small-sc341-nsp-small,1776,3.199429750442505
small-sc341-nsp-small,1784,3.1477975845336914
small-sc341-nsp-small,1791,3.31840181350708
small-sc341-nsp-small,1793,3.1891326904296875
small-sc341-nsp-small,1795,3.260460376739502
small-sc341-nsp-small,1806,3.125422716140747
small-sc341-nsp-small,1813,3.242302656173706
small-sc341-nsp-small,1818,3.3713622093200684
small-sc341-nsp-small,1830,3.227036476135254
small-sc341-nsp-small,1833,3.1981101036071777
small-sc341-nsp-small,1838,3.176694869995117
small-sc341-nsp-small,1842,3.173072099685669
small-sc341-nsp-small,1847,3.081089496612549
small-sc341-nsp-small,1850,3.0881407260894775
