size,sc,arch,params_M,horizon,best_T,n_T,emd_nsp,emd_vqvae,tke_rse
small,sc1941,s113,113.0,1,1.0,7,0.09175962568767194,0.08643042262576142,0.5534219889410787
small,sc1941,s139,139.0,1,1.0,7,0.08881919362791171,0.08643334001809352,0.5488445727942571
small,sc1941,s31,31.0,1,1.0,7,0.10148839507767012,0.08643433074955263,0.5822835234752555
small,sc1941,s48,48.0,1,1.0,7,0.0917595405058964,0.08643288346297845,0.5638525224488448
small,sc1941,s73,73.0,1,1.0,7,0.090784444368682,0.08643288346297845,0.5563199402436715
small,sc341,s06,6.0,1,0.7,6,0.4138290880077835,0.4038612456419831,0.8008503254464571
small,sc341,s09,9.0,1,0.7,6,0.4141523077690565,0.40386410373983433,0.803768691967423
small,sc341,s13,13.0,1,0.8,6,0.4159975694307396,0.40386410373983433,0.8001380463446093
small,sc341,s18,18.0,1,0.7,6,0.4124642289458578,0.40386410373983433,0.7993359854519345
small,sc341,s24,24.0,1,0.9,6,0.41218099159656385,0.40386410373983433,0.7993908545112999
small,sc917,s13,13.0,1,0.8,7,0.12721902285104714,0.11640446754769516,0.6714770389894936
small,sc917,s22,22.0,1,0.8,7,0.12052606570395936,0.11640186482455114,0.6664477308700357
small,sc917,s34,34.0,1,0.8,7,0.11948444542298464,0.11640446754769516,0.6633758245553107
small,sc917,s50,50.0,1,0.8,7,0.11441824608361456,0.11640223721294012,0.6559982330003042
small,sc917,s74,74.0,1,0.8,7,0.11970297857943472,0.11640446754769516,0.6592399274892226
large,sc1941,s113,113.0,2,1.0,7,0.06575927520753581,0.06562845255136962,0.5374008178919454
large,sc1941,s139,139.0,2,1.0,7,0.06426851515326792,0.06562854533248495,0.5549531853034957
large,sc1941,s31,31.0,2,1.0,7,0.07386373616097634,0.06562854533248495,0.6033934763858037
large,sc1941,s48,48.0,2,1.0,7,0.06363009340393205,0.06562893298244203,0.5452887213815568
large,sc1941,s73,73.0,2,1.0,7,0.0678223950876012,0.0656281508733966,0.5599016643517432
large,sc341,s06,6.0,2,0.8,6,0.23158068944527355,0.2313295077557368,0.7473990888567809
large,sc341,s09,9.0,2,0.7,6,0.2610477929279446,0.2313295077557368,0.7580448534012106
large,sc341,s13,13.0,2,0.8,6,0.2295252660052622,0.2313295077557368,0.7453447492481307
large,sc341,s18,18.0,2,0.8,6,0.22794896623140343,0.2313295077557368,0.7454511713106701
large,sc341,s24,24.0,2,0.7,6,0.22974551293802584,0.2313295077557368,0.7455542433012511
large,sc917,s13,13.0,2,0.8,7,0.13169033477107395,0.1259886886062306,0.6884215807241163
large,sc917,s22,22.0,2,0.8,7,0.12555815839589818,0.1259881785032927,0.682278847483168
large,sc917,s34,34.0,2,0.8,7,0.1258350461047381,0.1259885538478429,0.6809004090780009
large,sc917,s50,50.0,2,0.8,7,0.1240132086485034,0.1259885538478429,0.6765000409898015
large,sc917,s74,74.0,2,0.8,7,0.12935742783054582,0.12598904720166051,0.6776753662740033
medium,sc1941,s113,113.0,2,1.0,7,0.06681035097886388,0.06186107429686561,0.5520339432803212
medium,sc1941,s139,139.0,2,1.0,7,0.06575855490017635,0.06186179245346784,0.5664329285437157
medium,sc1941,s31,31.0,2,1.0,7,0.08409836896473491,0.06186179245346784,0.5908851493881128
medium,sc1941,s48,48.0,2,1.0,7,0.07155010453997321,0.06186107429686561,0.5738939403073967
medium,sc1941,s73,73.0,2,1.0,7,0.0680406329544806,0.06186179245346784,0.5648153959863107
medium,sc341,s06,6.0,2,0.8,6,0.2431768945881077,0.2355193812799536,0.7629543602467167
medium,sc341,s09,9.0,2,0.7,6,0.25554706407292693,0.2355193812799536,0.7690121498075544
medium,sc341,s13,13.0,2,1.2,6,0.24333053895428172,0.2355193812799536,0.7651635464729929
medium,sc341,s18,18.0,2,0.8,6,0.2428478632185136,0.2355193812799536,0.7607125257439655
medium,sc341,s24,24.0,2,1.2,6,0.24383623310043603,0.2355199511250695,0.7620575634821224
medium,sc917,s13,13.0,2,0.8,7,0.14169548219810016,0.12344982984502063,0.6890169027486615
medium,sc917,s22,22.0,2,0.8,7,0.13729075540350705,0.12345002108314548,0.6787228525315289
medium,sc917,s34,34.0,2,0.8,7,0.13868148182421508,0.12344655616492133,0.6823057349460281
medium,sc917,s50,50.0,2,0.8,7,0.1317506849841509,0.12344982984502063,0.6758225226157167
medium,sc917,s74,74.0,2,0.8,7,0.136971721591924,0.12344730466566144,0.6760549065935506
small,sc1941,s113,113.0,2,1.0,7,0.09019459959609392,0.08643042262576142,0.5579117335128192
small,sc1941,s139,139.0,2,1.0,7,0.08784072455998834,0.08643334001809352,0.5514707358215477
small,sc1941,s31,31.0,2,1.0,7,0.1042612570610237,0.08643433074955263,0.6026391140228828
small,sc1941,s48,48.0,2,1.0,7,0.0820006690143454,0.08643288346297845,0.5716023698696783
small,sc1941,s73,73.0,2,1.0,7,0.08486216614979837,0.08643288346297845,0.5598598158426207
small,sc341,s06,6.0,2,0.7,6,0.41969157997837625,0.4038612456419831,0.803252830618272
small,sc341,s09,9.0,2,0.7,6,0.4191019794699068,0.40386410373983433,0.8057363080369514
small,sc341,s13,13.0,2,0.8,6,0.423058406825971,0.40386410373983433,0.8018213113485888
small,sc341,s18,18.0,2,0.7,6,0.4131019008427508,0.40386410373983433,0.8000742087332184
small,sc341,s24,24.0,2,0.8,6,0.4145824185129752,0.40386410373983433,0.8003478630459673
small,sc917,s13,13.0,2,0.8,7,0.1342158971831029,0.11640446754769516,0.68990550083669
